2024-02-15 22:57:13 install libncursesw6:amd64 <none> 6.2+20201114-2+deb11u2
2024-02-15 22:57:13 status half-installed libncursesw6:amd64 6.2+20201114-2+deb11u2
2024-02-15 22:57:13 status unpacked libncursesw6:amd64 6.2+20201114-2+deb11u2
2024-02-15 22:57:13 install pinentry-curses:amd64 <none> 1.1.0-4
2024-02-15 22:57:13 status half-installed pinentry-curses:amd64 1.1.0-4
2024-02-15 22:57:13 status unpacked pinentry-curses:amd64 1.1.0-4
2024-02-15 22:57:13 install gpg-agent:amd64 <none> 2.2.27-2+deb11u2
2024-02-15 22:57:13 status half-installed gpg-agent:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:13 status unpacked gpg-agent:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:13 install gpg-wks-client:amd64 <none> 2.2.27-2+deb11u2
2024-02-15 22:57:13 status half-installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:13 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:13 install gpg-wks-server:amd64 <none> 2.2.27-2+deb11u2
2024-02-15 22:57:13 status half-installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:13 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:13 install gpgsm:amd64 <none> 2.2.27-2+deb11u2
2024-02-15 22:57:13 status half-installed gpgsm:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:13 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:13 install gnupg:all <none> 2.2.27-2+deb11u2
2024-02-15 22:57:13 status half-installed gnupg:all 2.2.27-2+deb11u2
2024-02-15 22:57:13 status unpacked gnupg:all 2.2.27-2+deb11u2
2024-02-15 22:57:13 install libatomic1:amd64 <none> 10.2.1-6
2024-02-15 22:57:13 status half-installed libatomic1:amd64 10.2.1-6
2024-02-15 22:57:13 status unpacked libatomic1:amd64 10.2.1-6
2024-02-15 22:57:13 startup packages configure
2024-02-15 22:57:13 configure libksba8:amd64 1.5.0-3+deb11u2 <none>
2024-02-15 22:57:13 status unpacked libksba8:amd64 1.5.0-3+deb11u2
2024-02-15 22:57:13 status half-configured libksba8:amd64 1.5.0-3+deb11u2
2024-02-15 22:57:13 status installed libksba8:amd64 1.5.0-3+deb11u2
2024-02-15 22:57:13 configure libpsl5:amd64 0.21.0-1.2 <none>
2024-02-15 22:57:13 status unpacked libpsl5:amd64 0.21.0-1.2
2024-02-15 22:57:13 status half-configured libpsl5:amd64 0.21.0-1.2
2024-02-15 22:57:14 status installed libpsl5:amd64 0.21.0-1.2
2024-02-15 22:57:14 configure wget:amd64 1.21-1+deb11u1 <none>
2024-02-15 22:57:14 status unpacked wget:amd64 1.21-1+deb11u1
2024-02-15 22:57:14 status half-configured wget:amd64 1.21-1+deb11u1
2024-02-15 22:57:14 status installed wget:amd64 1.21-1+deb11u1
2024-02-15 22:57:14 configure libbrotli1:amd64 1.0.9-2+b2 <none>
2024-02-15 22:57:14 status unpacked libbrotli1:amd64 1.0.9-2+b2
2024-02-15 22:57:14 status half-configured libbrotli1:amd64 1.0.9-2+b2
2024-02-15 22:57:14 status installed libbrotli1:amd64 1.0.9-2+b2
2024-02-15 22:57:14 configure libsqlite3-0:amd64 3.34.1-3 <none>
2024-02-15 22:57:14 status unpacked libsqlite3-0:amd64 3.34.1-3
2024-02-15 22:57:14 status half-configured libsqlite3-0:amd64 3.34.1-3
2024-02-15 22:57:14 status installed libsqlite3-0:amd64 3.34.1-3
2024-02-15 22:57:14 configure libnghttp2-14:amd64 1.43.0-1+deb11u1 <none>
2024-02-15 22:57:14 status unpacked libnghttp2-14:amd64 1.43.0-1+deb11u1
2024-02-15 22:57:14 status half-configured libnghttp2-14:amd64 1.43.0-1+deb11u1
2024-02-15 22:57:14 status installed libnghttp2-14:amd64 1.43.0-1+deb11u1
2024-02-15 22:57:14 configure libnpth0:amd64 1.6-3 <none>
2024-02-15 22:57:14 status unpacked libnpth0:amd64 1.6-3
2024-02-15 22:57:14 status half-configured libnpth0:amd64 1.6-3
2024-02-15 22:57:14 status installed libnpth0:amd64 1.6-3
2024-02-15 22:57:14 configure libassuan0:amd64 2.5.3-7.1 <none>
2024-02-15 22:57:14 status unpacked libassuan0:amd64 2.5.3-7.1
2024-02-15 22:57:14 status half-configured libassuan0:amd64 2.5.3-7.1
2024-02-15 22:57:14 status installed libassuan0:amd64 2.5.3-7.1
2024-02-15 22:57:14 configure libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2024-02-15 22:57:14 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2024-02-15 22:57:14 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2024-02-15 22:57:14 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2024-02-15 22:57:14 configure gnupg-l10n:all 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:14 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2024-02-15 22:57:14 status half-configured gnupg-l10n:all 2.2.27-2+deb11u2
2024-02-15 22:57:14 status installed gnupg-l10n:all 2.2.27-2+deb11u2
